AH0	61832
T	56250
N	56195
S	41700
D	36638
L	36011
R	33801
DH	27713
IH1	25501
Z	23168
M	23101
K	22965
IH0	22697
AH1	20525
AE1	20448
EH1	19503
W	18838
P	16745
B	16570
HH	15702
V	15559
ER0	14718
F	14336
IY1	14234
AY1	13029
AA1	12624
AO1	12521
EY1	12239
UW1	11215
IY0	10738
OW1	10393
NG	10302
G	6881
AW1	5386
SH	5368
Y	4664
CH	4530
ER1	4157
TH	4047
JH	3407
UH1	2834
EH2	1314
OW0	1253
AE2	1202
AY2	1097
EY2	1072
OY1	971
IH2	787
OW2	731
AA2	723
EH0	693
AH2	625
AO2	545
UW0	529
AA0	444
AE0	406
UW2	405
AO0	331
AW2	328
IY2	301
AY0	256
ZH	247
ER2	166
EY0	104
AW0	82
UH2	82
UH0	36
OY2	28
OY0	27
